iter	Passed	Remaining
401	15752	54897
402	15790	54854
403	15829	54817
404	15870	54783
405	15910	54747
406	15950	54709
407	15994	54688
408	16033	54646
409	16077	54623
410	16115	54582
411	16156	54546
412	16192	54497
413	16230	54455
414	16267	54406
415	16306	54367
416	16343	54321
417	16379	54272
418	16415	54222
419	16454	54181
420	16493	54141
421	16535	54113
422	16576	54078
423	16614	54037
424	16652	53993
425	16703	53992
426	16742	53951
427	16781	53911
428	16819	53868
429	16857	53824
430	16895	53783
431	16941	53765
432	16982	53730
433	17021	53691
434	17062	53657
435	17103	53625
436	17142	53584
437	17187	53563
438	17233	53544
439	17275	53516
440	17331	53526
441	17409	53607
442	17453	53580
443	17491	53539
444	17535	53514
445	17575	53476
446	17618	53447
447	17656	53401
448	17697	53369
449	17738	53332
450	17781	53305
451	17819	53261
452	17858	53219
453	17877	53120
454	17918	53086
455	17959	53050
456	17999	53013
457	18038	52972
458	18075	52927
459	18122	52909
460	18165	52882
461	18207	52848
462	18251	52822
463	18287	52773
464	18331	52746
465	18370	52706
466	18413	52677
467	18454	52642
468	18492	52599
469	18533	52563
470	18570	52516
471	18612	52484
472	18651	52445
473	18691	52406
474	18732	52372
475	18769	52324
476	18804	52275
477	18841	52228
478	18876	52176
479	18914	52132
480	18953	52091
481	18991	52048
482	19031	52010
483	19069	51967
484	19106	51923
485	19149	51893
486	19192	51864
487	19232	51826
488	19271	51783
489	19310	51743
490	19349	51703
491	19386	51658
492	19413	51585
493	19454	51551
494	19492	51507
495	19529	51463
496	19567	51418
497	19606	51377
498	19644	51336
499	19684	51296
500	19723	51256
501	19761	51214
502	19806	51189
503	19843	51144
504	19880	51097
505	19902	51016
506	19942	50976
507	19981	50936
508	20022	50902
509	20065	50873
510	20129	50896
511	20192	50915
512	20261	50948
513	20319	50955
514	20392	51001
515	20507	51149
516	20576	51183
517	20627	51171
518	20694	51197
519	20745	51186
520	20791	51161
521	20830	51118
522	20871	51080
523	20920	51062
524	20978	51068
525	21031	51060
526	21092	51071
527	21140	51048
528	21188	51029
529	21231	50995
530	21272	50956
531	21314	50922
532	21354	50883
533	21395	50843
534	21434	50802
535	21473	50760
536	21522	50740
537	21560	50694
538	21608	50673
539	21643	50622
540	21679	50571
541	21714	50520
542	21755	50481
543	21792	50435
544	21835	50401
545	21880	50373
546	21925	50343
547	21974	50325
548	22024	50306
549	22067	50273
550	22113	50246
551	22157	50216
552	22200	50181
553	22236	50132
554	22273	50085
555	22309	50036
556	22342	49979
557	22380	49934
558	22422	49899
559	22463	49861
560	22502	49817
561	22524	49737
562	22560	49689
563	22598	49645
564	22638	49604
565	22680	49568
566	22720	49528
567	22757	49481
568	22798	49443
569	22836	49399
570	22872	49350
571	22913	49311
572	22951	49268
573	22990	49226
574	23029	49182
575	23068	49140
576	23104	49092
577	23144	49052
578	23185	49013
579	23222	48967
580	23260	48922
581	23300	48882
582	23340	48842
583	23377	48796
584	23415	48751
585	23446	48693
586	23484	48648
587	23522	48605
588	23561	48563
589	23600	48520
590	23641	48484
591	23682	48444
592	23718	48396
593	23756	48352
594	23795	48311
595	23834	48269
596	23871	48223
597	23910	48180
598	23948	48136
599	23985	48091
600	24028	48057
601	24089	48059
602	24152	48064
603	24230	48099
604	24305	48129
605	24367	48131
606	24432	48139
607	24492	48139
608	24546	48125
609	24599	48109
610	24638	48067
611	24682	48033
612	24720	47989
613	24758	47944
614	24793	47894
615	24830	47847
616	24874	47814
617	24921	47785
618	24986	47792
619	25030	47759
620	25069	47715
621	25111	47678
622	25151	47638
623	25190	47594
624	25230	47554
625	25273	47519
626	25320	47490
627	25360	47449
628	25397	47403
629	25434	47356
630	25474	47316
631	25511	47268
632	25550	47225
633	25586	47177
634	25623	47131
635	25660	47085
636	25699	47040
637	25737	46996
638	25774	46950
639	25810	46902
640	25847	46856
641	25886	46813
642	25922	46766
643	25959	46719
644	25998	46675
645	26038	46635
646	26083	46602
647	26142	46595
648	26188	46566
649	26236	46538
650	26282	46509
651	26323	46470
652	26363	46428
653	26407	46394
654	26449	46356
655	26490	46317
656	26527	46271
657	26561	46220
658	26598	46173
659	26635	46128
660	26673	46083
661	26710	46038
662	26748	45992
663	26785	45946
664	26821	45899
665	26863	45861
666	26902	45819
667	26957	45802
668	27036	45828
669	27127	45873
670	27190	45871

689	13395	14346
690	13413	14326
691	13433	14306
692	13451	14286
693	13469	14265
694	13488	14245
695	13509	14227
696	13528	14207
697	13548	14189
698	13568	14170
699	13588	14151
700	13606	14130
701	13625	14110
702	13643	14089
703	13663	14071
704	13681	14050
705	13700	14030
706	13717	14008
707	13735	13987
708	13753	13966
709	13773	13947
710	13791	13927
711	13810	13907
712	13827	13885
713	13844	13863
714	13862	13843
715	13881	13822
716	13899	13802
717	13917	13781
718	13935	13761
719	13953	13740
720	13972	13721
721	13991	13701
722	14011	13682
723	14030	13662
724	14048	13641
725	14068	13622
726	14089	13604
727	14109	13586
728	14129	13567
729	14146	13546
730	14165	13526
731	14184	13506
732	14203	13486
733	14222	13466
734	14241	13447
735	14261	13428
736	14284	13412
737	14304	13393
738	14327	13377
739	14346	13358
740	14365	13338
741	14383	13317
742	14401	13296
743	14420	13276
744	14439	13256
745	14457	13236
746	14477	13217
747	14494	13196
748	14513	13176
749	14531	13155
750	14549	13135
751	14567	13114
752	14586	13094
753	14604	13074
754	14621	13053
755	14641	13034
756	14663	13016
757	14681	12996
758	14699	12975
759	14717	12954
760	14735	12934
761	14753	12913
762	14771	12893
763	14789	12873
764	14807	12852
765	14826	12833
766	14846	12814
767	14868	12796
768	14884	12774
769	14905	12756
770	14922	12735
771	14939	12714
772	14959	12695
773	14976	12674
774	14995	12653
775	15015	12635
776	15032	12614
777	15051	12594
778	15068	12573
779	15086	12552
780	15106	12533
781	15126	12514
782	15144	12494
783	15163	12475
784	15184	12456
785	15203	12437
786	15222	12417
787	15239	12396
788	15258	12377
789	15277	12357
790	15297	12338
791	15317	12319
792	15335	12298
793	15365	12288
794	15384	12269
795	15402	12248
796	15422	12229
797	15441	12210
798	15458	12188
799	15476	12168
800	15494	12148
801	15511	12126
802	15529	12106
803	15548	12086
804	15566	12066
805	15583	12045
806	15601	12025
807	15620	12005
808	15637	11984
809	15657	11965
810	15675	11945
811	15693	11924
812	15710	11903
813	15729	11884
814	15750	11865
815	15769	11846
816	15787	11826
817	15805	11805
818	15824	11785
819	15843	11766
820	15863	11748
821	15883	11728
822	15902	11709
823	15922	11690
824	15942	11671
825	15961	11652
826	15979	11632
827	15999	11613
828	16021	11595
829	16039	11575
830	16059	11556
831	16078	11537
832	16101	11520
833	16120	11500
834	16140	11482
835	16158	11461
836	16178	11443
837	16195	11421
838	16212	11401
839	16230	11380
840	16249	11360
841	16266	11340
842	16283	11319
843	16302	11299
844	16319	11278
845	16337	11258
846	16355	11238
847	16374	11219
848	16394	11200
849	16413	11180
850	16432	11160
851	16451	11141
852	16471	11122
853	16490	11102
854	16509	11083
855	16527	11063
856	16547	11044
857	16564	11023
858	16581	11003
859	16600	10983
860	16617	10962
861	16633	10940
862	16650	10920
863	16668	10899
864	16687	10880
865	16706	10861
866	16726	10842
867	16744	10822
868	16761	10801
869	16781	10782
870	16800	10762
871	16818	10743
872	16841	10726
873	16860	10706
874	16881	10688
875	16900	10668
876	16920	10650
877	16939	10630
878	16959	10611
879	16977	10591
880	16997	10572
881	17016	10553
882	17036	10534
883	17056	10515
884	17075	10495
885	17097	10478
886	17116	10459
887	17143	10444
888	17162	10424
889	17180	10405
890	17198	10384
891	17221	10367
892	17242	10349
893	17291	10347
894	17322	10335
895	17358	10325
896	17378	10306
897	17400	10288
898	17420	10269
899	17438	10250
900	17459	10231
901	17480	10212
902	17498	10193
903	17518	10173
904	17537	10154
905	17556	10134
906	17573	10114
907	17592	10094
908	17612	10075
909	17634	10057
910	17653	10038
911	17673	10018
912	17693	9999
913	17712	9980
914	17733	9961
915	17754	9943
916	17773	9923
917	17791	9903
918	17811	9884
919	17831	9865
920	17852	9846
921	17872	9827
922	17892	9808
923	17909	9788
924	17928	9768
925	17947	9748
926	17967	9729
927	17985	9710
928	18002	9689
929	18020	9669
930	18043	9651
931	18061	9631
932	18082	9612
933	18103	9594
934	18124	9575
935	18145	9557
936	18169	9540
937	18187	9520
938	18204	9499
939	18222	9479
940	18241	9459
941	18260	9440
942	18280	9421
943	18300	9402
944	18318	9382
945	18338	9363
946	18359	9344
947	18379	9325
948	18399	9306
949	18417	9286
950	18436	9266
951	18455	9247
952	18473	9226
953	18490	9206
954	18507	9186
955	18527	9167
956	18548	9148
957	18567	9128
958	18587	9109
959	18605	9089
960	18624	9069
961	18644	9050
962	18665	9032
963	18684	9012
964	18702	8992
965	18720	8972
966	18737	8952
967	18756	8932
968	18774	8912
969	18809	8900
970	18828	8881
971	18846	8860
972	18864	8841
973	18883	8821
974	18901	8801
975	18920	8781
976	18938	8761
977	18957	8742
978	18976	8722
979	18995	8702
980	19014	8683
981	19033	8663
982	19051	8643
983	19068	8623
984	19091	8605
985	19113	8587
986	19133	8568
987	19151	8548
988	19170	8528
989	19188	8508
990	19208	8489
991	19226	8469
992	19245	8450
993	19263	8430
994	19282	8410
995	19300	8390
