iter	RMSE
0	0.1009779762
1	0.09459221417
2	0.08922340574
3	0.08453655141
4	0.08126485985
5	0.07826035635
6	0.07564315275
7	0.07352237164
8	0.07172854424
9	0.07070996177
10	0.06956470655
11	0.06843896174
12	0.06760687602
13	0.06719915968
14	0.06650572392
15	0.06585202663
16	0.06540197818
17	0.06482734591
18	0.06471567092
19	0.06445225551
20	0.06419104401
21	0.06383607758
22	0.06365426069
23	0.06334062255
24	0.06316244303
25	0.06307001729
26	0.06304664249
27	0.06278239885
28	0.06278236858
29	0.06260667035
30	0.06253895262
31	0.06210485481
32	0.06203675797
33	0.06195075242
34	0.0617706773
35	0.06174407461
36	0.06169715293
37	0.06141332985
38	0.06129878675
39	0.06121688866
40	0.06114506678
41	0.06104040207
42	0.06087735266
43	0.06087727425
44	0.06061301273
45	0.0603754559
46	0.06030485209
47	0.06024291501
48	0.06016764016
49	0.06003373175
50	0.06003370005
51	0.05992883032
52	0.05988198592
53	0.05980769135
54	0.05974292192
55	0.05971727301
56	0.05952016422
57	0.05951130939
58	0.05940890985
59	0.05932484273
60	0.0593016313
61	0.05900872984
62	0.05872980014
63	0.05853227899
64	0.05847301166
65	0.05822145568
66	0.05813669732
67	0.05797496303
68	0.05785590386
69	0.05767001565
70	0.05751757542
71	0.05740735539
72	0.05732136351
73	0.05719519521
74	0.05694191987
75	0.05687368306
76	0.05672775635
77	0.05662000434
78	0.0565798731
79	0.05649414419
80	0.05633274333
81	0.05615164756
82	0.056084257
83	0.05604475008
84	0.05593419836
85	0.05592514202
86	0.05587697736
87	0.05586754633
88	0.05586263469
89	0.05584609676
90	0.05567479426
91	0.05560972734
92	0.05555046831
93	0.05554966176
94	0.05553775445
95	0.05544193169
96	0.05533744339
97	0.05520479695
98	0.05520359591
99	0.05519427856
100	0.05513607024
101	0.05509955711
102	0.05498614585
103	0.05493107733
104	0.05492771558
105	0.05489252
106	0.05487133613
107	0.05479288278
108	0.05475618815
109	0.05466736633
110	0.05459530049
111	0.0545787123
112	0.05445747484
113	0.05439811146
114	0.05432622074
115	0.05427243623
116	0.05420329352
117	0.05417267423
118	0.05416587745
119	0.05412701455
120	0.05409581445
121	0.05406106113
122	0.05402513504
123	0.05400780773
124	0.05400269266
125	0.05395819139
126	0.05392716882
127	0.05389700379
128	0.05389387122
129	0.05389107833
130	0.05388687678
131	0.05381537204
132	0.05379293803
133	0.05379140612
134	0.05378896055
135	0.05370188371
136	0.05369120483
137	0.05367328598
138	0.05363455752
139	0.05362674729
140	0.05361097631
141	0.05359502439
142	0.05356043488
143	0.05353593583
144	0.05352608859
145	0.05350729883
146	0.05345714337
147	0.05344675123
148	0.05335107136
149	0.05334557014
150	0.05331773615
151	0.05331410812
152	0.05331189226
153	0.05328722602
154	0.05328396637
155	0.05321166738
156	0.05319824024
157	0.05319553436
158	0.05312316818
159	0.05308579602
160	0.05308108833
161	0.05302550553
162	0.05293300611
163	0.05291929775
164	0.05289737977
165	0.05287386886
166	0.05287118524
167	0.05284275268
168	0.0528403603
169	0.05283530855
170	0.05278548864
171	0.05266188167
172	0.05265019194
173	0.05264833034
174	0.05259397657
175	0.05259229124
176	0.0525539115
177	0.05255178241
178	0.05254884373
179	0.05253727913
180	0.05252074768
181	0.05251428166
182	0.0524996594
183	0.05248529865
184	0.05248416251
185	0.05242704729
186	0.05242566994
187	0.05235109408
188	0.05233825503
189	0.05230954286
190	0.05230902804
191	0.05229703252
192	0.05221368467
193	0.05215564299
194	0.05215488965
195	0.05213082018
196	0.05206950222
197	0.05206690639
198	0.05201239601
199	0.05201088453
200	0.05198920513
201	0.05198731373
202	0.05198119519
203	0.05197936816
204	0.05197879425
205	0.0519241446
206	0.05191817368
207	0.05189044053
208	0.0518784832
209	0.0518633557
210	0.05184787386
211	0.05184120687
212	0.05182621297
213	0.05181447667
214	0.05177866256
215	0.05176627249
216	0.05174124527
217	0.0516885045
218	0.05167306785
219	0.05161234332
220	0.05157577191
221	0.05155970004
